geometry.coordinates,properties.GRID_ADDRE,properties.FIXTURE_ST,long,lat,copyright,date,pano_id,status,view_lat,view_long,streetview_dist,light_shown,pole_shown,able_zoom,pan_need,bearing_adj,remove
"[-78.473855, 38.023837]",G0025OC9000,ENCL,-78.473855,38.023837,© Google,2019-07,MBUrEPBsJ6J4pe6UmZYfKg,OK,38.02383505,-78.47385376,0.242130606,1,1,1,0,0,
"[-78.461803, 38.024555]",G0025VC8600,COXX,-78.461803,38.024555,© Google,2019-07,uPy5ISoWonRzEJzJ3-mBHw,OK,38.02455348,-78.46179821,0.452949805,0,1,0,medium,0,
"[-78.476707, 38.056252]",G0026NK3600,OPEN,-78.476707,38.056252,© Google,2019-07,RRJMq3jUaoUwwu8h7_Nywg,OK,38.05625696,-78.47670582,0.560021542,0,0,0,0,1,
"[-78.494964, 38.023632]",G0025CB7900,ENCL,-78.494964,38.023632,© Google,2019-07,hu3D-nRt6AQ7CcmDX7j7Kg,OK,38.023637,-78.49496594,0.580894151,1,1,0,0,1,
"[-78.501543, 38.037868]",F2325WM8200,OPEN,-78.501543,38.037868,© Google,2015-10,5XE4xrVrV5Yu-MV8TtdI0g,OK,38.0378639,-78.501537,0.695864372,0,1,0,high,0,
"[-78.493445, 38.037267]",G0025DL6900,ENCL,-78.493445,38.037267,© Google,2017-06,3kpP-OxgQ4keGnEnye_shQ,OK,38.03726329,-78.4934383,0.718072197,0,1,0,medium,0,
"[-78.493943, 38.035373]",G0025DK4400,ENCL,-78.493943,38.035373,© Google,2019-07,VdG9wMnd5yWaId6-YeH4Hw,OK,38.03537543,-78.49393468,0.778413178,0,0,0,0,1,
"[-78.481871, 38.033512]",G0025KJ2000,ENCL,-78.481871,38.033512,© Google,2012-08,OOuKiGFStEol8ZZkaOGWtg,OK,38.03350874,-78.48186304,0.787458155,0,0,0,0,1,
"[-78.505734, 38.029487]",F2325UG5100,ENCL,-78.505734,38.029487,© Google,2015-10,PezLglqQFK6ZTFuhn7u6mA,OK,38.0294951,-78.5057335,0.90014705,0,0,0,0,1,
"[-78.484774, 38.026567]",G0025IE5100,ENCL,-78.484774,38.026567,© Google,2019-07,sxyLXQl1s1CwoeK9E9xrjw,OK,38.02657237,-78.48476617,0.909860641,0,1,0,medium,0,
