type,geometry.type,geometry.coordinates,properties.SUBTYPECD,properties.GRID_ADDRE,properties.WATTS,properties.FIXTURE_ST,properties.DECAL_COLO,properties.DECAL_NUMB,properties.LAMP_CD,properties.USE_CD,properties.MOUNT_HEIG,properties.OWNER,properties.BRACKET_CD,properties.BRACKET_LN,properties.INSTALL_DA,properties.RELATEDPOL,properties.FIRSTONPOL,properties.BRIDGE_IND,properties.MATERIAL_C,properties.STYLE,properties.WORK_EFFEC,properties.WORK_REQUE,properties.LUMENS,properties.CONTRACT_N,properties.NOM_VOLT,properties.SYMBOLROTA,properties.SUBMISSION,properties.WORKREQUES,properties.DESIGNID,properties.WORKLOCATI,properties.WORKFLOWST,properties.WORKFUNCTI,properties.ENABLED,properties.NONSTANDAR,properties.NONSTAND_1,properties.STREETLIGH,properties.PREMISE_ID,properties.ISWATCHLIG,properties.INSPECTION,properties.BASIC_PREM,properties.CUID,properties.PATTERN,properties.COLOR_TEMP,properties.BASE_COLOR,long,lat,copyright,date,pano_id,status,view_lat,view_long
Feature,Point,"[-78.500067, 38.060712]",1,F2326XN8900,100,ENCL,YLO,10,HPS,STL,0,,,,,14201018,YES,NO,W,STD,,0,8000,374030,0,51.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.500067,38.060712,© Google,2012-08,HVTHF772l8uuo59MkrsIOQ,OK,38.0608279,-78.5000343
Feature,Point,"[-78.494218, 38.037517]",1,G0025DM2000,100,ENCL,YLO,10,HPS,STL,0,,,,,14164512,YES,NO,W,STD,,0,8000,374030,0,164.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.494218,38.037517,© Google,2012-10,UXnoWZ5G9dTV9lCFCGW_-Q,OK,38.03757513722522,-78.49423229629413
Feature,Point,"[-78.488514, 38.034276]",1,G0025GJ4600,150,ENCL,YLO,15,HPS,STL,0,,,,,14164537,YES,NO,W,STD,,0,14000,374030,0,310.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.488514,38.034276,© Google,2012-08,rxJjsQzFjMJCrN2cAj-sFA,OK,38.034307356720134,-78.48855082437431
Feature,Point,"[-78.49317, 38.04372]",4,G0026DB8400,175,ENCL,LTBL,17,MV,STL,0,,,,,16117059,YES,NO,W,STD,,0,7000,374030,0,61.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.49316999999998,38.04372,© Google,2019-07,_lb8eEAV8eHzf2PJ1WkyjQ,OK,38.043802876219395,-78.49322014847864
Feature,Point,"[-78.477127, 38.031177]",4,G0025MH9400,250,ENCL,LTBL,25,MV,STL,0,,,,,16116933,YES,NO,W,STD,,0,11000,374030,0,244.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.477127,38.031177,© Google,2018-06,1zX-eSFuGb4b9NtV6ttk1A,OK,38.0311776,-78.477203
Feature,Point,"[-78.464059, 38.032236]",4,G0025UI5200,100,ENCL,LTBL,10,MV,STL,0,,,,,14165597,YES,NO,W,STD,,0,3300,374030,0,270.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.46405899999998,38.032236,© Google,2019-07,kKPL4TfigdXxcz0jrbl2Zw,OK,38.032217004884465,-78.46399038174442
Feature,Point,"[-78.463967, 38.029713]",4,G0025UG5200,175,ENCL,LTBL,17,MV,STL,0,,,,,14164174,YES,NO,W,STD,,0,7000,374030,0,60.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.46396700000003,38.029713,© Google,2018-06,1k4jaHGVKAUPWAUIFf5PcQ,OK,38.02977119944578,-78.46394670857399
Feature,Point,"[-78.500514, 38.039223]",1,F2325XN5300,150,ENCL,YLO,15,HPS,STL,0,,,,,16116169,YES,NO,W,STD,,0,14000,374030,0,159.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.500514,38.039223,© Google,2019-07,pnycQu8T6dAxDqecMqbYDw,OK,38.0392675,-78.5005676
Feature,Point,"[-78.498699, 38.023702]",4,G0025AB6900,175,ENCL,LTBL,17,MV,STL,0,,,,,880611,YES,NO,W,STD,,0,7000,374030,0,15.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.498699,38.023702,© Google,2019-07,eawqSPlG9htiELy0SBpy0Q,OK,38.023729,-78.4986393
Feature,Point,"[-78.456213, 38.026943]",1,G0125BE0300,100,COLN,YLO,10,HPS,STL,0,,,,,16116047,YES,NO,F,STD,,0,8000,374030,0,207.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.456213,38.026943,© Google,2019-07,hVPsXXxZdfru0GGYZO-EbA,OK,38.027092448513116,-78.45618777273673
